FeatureID,FeatureType,Bdnr,BDtype,Status_i_dag,LanduseOnTop,longitude,latitude
200,Shelter Type II,NA,NA,NA,Shrubs,10.207442433333334,56.14344081666667
128,Shelter Type III,180,III,Findes,Grass,10.180181433333331,56.168543983333336
251,Shelter Type III,288,III,NA,Trees,10.207466033333333,56.14122735
252,Shelter Type V,507,III,NA,Grass,10.2072688,56.14496225
269,Shelter Type III,174,III A,Findes,Grass,10.18295765,56.1640948
270,Shelter Type IV,498,IV,Findes,Grass,10.188007066666668,56.16739798333333
170,Shelter Type IV,483,IV A,Findes,Grass,10.19618655,56.16069196666667
173,Shelter Type VI,480,VI B,NA,Other,10.201459283333334,56.15008676666667
175,Shelter Type VI,484,VI A,Findes,Grass,10.210499066666667,56.15863301666667
183,Shelter Type IV,493,IV A,NA,Structure,10.20993655,56.17932906666667
